[INFO] 2025-03-29 00:05:52,943 [UID:Anon] autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-29 00:09:41,237 [UID:Anon] autoreload - C:\Users\sasay\Desktop\Python\AinoteProject\group\views.py changed, reloading.
[INFO] 2025-03-29 00:09:41,793 [UID:Anon] autoreload - Watching for file changes with StatReloader
[INFO] 2025-03-29 00:10:55,073 [UID:2] views - start Group detail_view
[DEBUG] 2025-03-29 00:10:55,078 [UID:2] views - get Group object(pk)
[DEBUG] 2025-03-29 00:10:55,080 [UID:2] views - return render group/detail.html
[INFO] 2025-03-29 00:10:55,130 [UID:2] basehttp - "GET /group/detail/4/ HTTP/1.1" 200 25907
[INFO] 2025-03-29 00:10:55,156 [UID:2] basehttp - "GET /media/group/4_images_2503282342.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:10:55,158 [UID:2] basehttp - "GET /media/group/4_themes_2503282339.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:10:55,184 [UID:2] views - start Friend disp_qr_view
[INFO] 2025-03-29 00:10:55,185 [UID:2] views - group_url=http://127.0.0.1:8000/group/join/?group_id=4
[DEBUG] 2025-03-29 00:10:55,205 [UID:2] views - Logo file load from: C:\Users\sasay\Desktop\Python\AinoteProject/static/img/ainote.png
[INFO] 2025-03-29 00:10:55,245 [UID:2] basehttp - "GET /group/disp_qr/4/ HTTP/1.1" 200 7897
[INFO] 2025-03-29 00:11:52,887 [UID:Anon] basehttp - "GET /top/logout/ HTTP/1.1" 302 0
[INFO] 2025-03-29 00:11:52,897 [UID:Anon] basehttp - "GET /top/login/ HTTP/1.1" 200 12514
[DEBUG] 2025-03-29 00:11:53,835 [UID:Anon] views - start Group list_view
[DEBUG] 2025-03-29 00:11:53,837 [UID:Anon] views - object_list exists
[INFO] 2025-03-29 00:11:53,839 [UID:Anon] views - return render group/list.html
[INFO] 2025-03-29 00:11:53,845 [UID:Anon] basehttp - "GET /group/list/ HTTP/1.1" 200 23868
[INFO] 2025-03-29 00:11:53,878 [UID:Anon] basehttp - "GET /media/group/6_themes_2503282337.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:11:53,879 [UID:Anon] basehttp - "GET /media/group/6_images_2503282342.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:11:53,897 [UID:Anon] basehttp - "GET /media/group/5_themes_2503282338.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:11:53,897 [UID:Anon] basehttp - "GET /media/group/5_images_2503282342.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:11:53,914 [UID:Anon] basehttp - "GET /media/group/3_themes_2503282339.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:11:53,924 [UID:Anon] basehttp - "GET /media/group/3_images_2503282343.png HTTP/1.1" 304 0
[INFO] 2025-03-29 00:11:53,925 [UID:Anon] basehttp - "GET /media/group/2_themes_2503282340.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:11:53,925 [UID:Anon] basehttp - "GET /media/group/2_images_2503282343.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:11:56,386 [UID:Anon] views - start Group detail_view
[DEBUG] 2025-03-29 00:11:56,387 [UID:Anon] views - get Group object(pk)
[DEBUG] 2025-03-29 00:11:56,389 [UID:Anon] views - return render group/detail.html
[INFO] 2025-03-29 00:11:56,395 [UID:Anon] basehttp - "GET /group/detail/6/ HTTP/1.1" 200 23916
[INFO] 2025-03-29 00:11:56,422 [UID:Anon] basehttp - "GET /group/disp_qr/6/ HTTP/1.1" 302 0
